analysis,tweet
positif,"['selamat', 'pagi', 'kak', 'ini', 'genose', 'laku', 'jam', 'ambil', 'sampel', 'laku', 'sila', 'laku', 'periksa', 'pasuk', 'jam', 'berangkat', 'ka', 'tetap', 'sesuai', 'jam', 'layan', 'genose', 'stasiun']"
positif,"['pandemi', 'india', 'lawan', 'buta', 'akibat', 'diabetes', 'bantu', 'ai', 'so', 'why', 'can', 'us', 'fight', 'covid', 'using', 'genose', 'menteri']"
negatif,"['kemaren', 'pergi', 'mall', 'ada', 'jl', 'merdeka', 'isi', 'penuh', 'org', 'beli', 'baju', 'bedug', 'saat', 'buka', 'puasa', 'rela', 'ngemper', 'lantai', 'kumpul', 'perlu', 'swab', 'antigen', 'genose', 'thermo', 'gun', 'security', 'asal', 'angka', 'ahh', 'negeri', 'memang', 'aneh']"
negatif,"['iya', 'li', 'gue', 'ngerti', 'dunia', 'dokter', 'memang', 'sulit', 'terima', 'genose', 'kan', 'ai', 'gue', 'nggak', 'maksud', 'aku', 'internasional', 'kalau', 'udah', 'pakai', 'masal', 'percaya', 'tingkat', 'akurasi', 'lalu', 'nggak', 'juga', 'data']"
positif,"['selamat', 'pagi', 'kak', 'ini', 'genose', 'laku', 'jam', 'ambil', 'sampel', 'laku', 'sudah', 'tentu', 'sila', 'laku', 'periksa', 'trims']"
negatif,"['min', 'tanya', 'jadwal', 'kereta', 'jam', 'malam', 'genose', 'jam']"
positif,"['selamat', 'pagi', 'min', 'siang', 'naik', 'kereta', 'banyuwangi', 'tuju', 'surabaya', 'hasil', 'genose', 'saya', 'dari', 'banyuwangi', 'surabaya', 'laku', 'bisa', 'untuk', 'dari', 'surabaya', 'jakarta']"
positif,"['genose', 'beda', 'pcr', 'kang', 'so', 'bisa', 'dimasukkin', 'angka', 'testing', 'covid', 'gold', 'standard', 'test', 'covid', 'seluruh', 'dunia', 'pcr']"
positif,"['satgas', 'covid', 'seluruh', 'dagang', 'pasar', 'tanah', 'abang', 'jakarta', 'pusat', 'segera', 'laku', 'tes', 'swab', 'tes', 'rapid', 'antigen', 'tes', 'genose', 'satgas', 'covid', 'sayang', 'kerumun', 'orang', 'satu', 'di', 'pasar', 'tanah', 'abang', 'sabtu', 'kemarin']"
positif,"['wakil', 'gubernur', 'dki', 'jakarta', 'sayang', 'kerumun', 'warga', 'pasar', 'tanah', 'abang', 'jakarta', 'pusat', 'sabtu', 'kemarin', 'wakil', 'gubernur', 'perintah', 'pasar', 'tanah', 'abang', 'tutup', 'waktu', 'semua', 'dagang', 'tes', 'swab', 'tes', 'rapid', 'antigen', 'tes', 'genose', 'ini']"
positif,"['walikota', 'jakarta', 'pusat', 'nyata', 'semua', 'dagang', 'pasar', 'tanah', 'abang', 'segera', 'laku', 'tes', 'swab', 'tes', 'rapid', 'antigen', 'tes', 'genose', 'tahu', 'mereka', 'positif', 'covid', 'tidak', 'ini', 'hari', 'covid', 'jakarta', 'tinggi', 'indonesia']"
positif,"['pagi', 'sahabat', 'sedia', 'layan', 'genose', 'bandar', 'udara', 'el', 'tari', 'kupang', 'letak', 'seberang', 'pick', 'up', 'zone', 'area', 'parkir', 'kendara', 'terminal', 'berangkat', 'fasilitas', 'operasi', 'hari', 'wita', 'kena', 'biaya', 'rp', 'tks', 'fika']"
positif,"['informasi', 'kena', 'layan', 'periksa', 'genose', 'sila', 'cek', 'link', 'trims']"
positif,"['layan', 'genose', 'stasiun', 'gambir', 'pukul', 'wib', 'antre', 'kondisional', 'lokasi', 'area', 'parkir', 'utara', 'gerai', 'indomaret']"
positif,"['selamat', 'pagi', 'kak', 'sudah', 'pesan', 'genose', 'via', 'kaiaccess', 'periksa', 'dapat', 'laku', 'stasiun', 'gambir', 'pasar', 'senen', 'rencana', 'ke', 'stasiun']"
positif,"['genose', 'bisa']"
positif,"['pagi', 'min', 'tanya', 'sudah', 'tiket', 'berangkat', 'ps', 'senen', 'pesan', 'cek', 'genose', 'via', 'kaiaccess', 'rencana', 'cek', 'genose', 'gambir', 'tidak', 'terima', 'kasih']"
positif,"['min', 'udah', 'sen', 'tes', 'genose', 'via', 'app', 'kai', 'bisa', 'pakai', 'tes', 'stasiun', 'saja']"
negatif,"['yth', 'menteri', 'data', 'tes', 'genose', 'akumulasi', 'publikasi', 'rakyat', 'tau', 'test', 'udah', 'valid', 'angka', 'internasional', 'pakai', 'pcr', 'olah', 'negara', 'tinggal', 'nggak']"
positif,"['selamat', 'pagi', 'kak', 'layan', 'genose', 'stasiun', 'yogyakarta', 'tugu', 'operasi', 'hari', 'wib', 'antre', 'kondisional', 'lokasi', 'di', 'ruang', 'tunggu', 'stasiun', 'belah', 'selatan', 'tarif', 'ribu', 'rupiah', 'trims']"
negatif,"['cape', 'ngantri', 'genose', 'eh', 'malah', 'gabisa', 'suruh', 'antigen', 'dah', 'bayar', 'antri', 'depan', 'malah', 'bisa', 'tes', 'genose', 'sebel']"
positif,"['selamat', 'pagi', 'layan', 'genose', 'sedia', 'stasiun', 'kiaracondong', 'operasi', 'hari', 'wib', 'antre', 'kondisional', 'letak', 'depan', 'ruang', 'customer', 'service', 'tarif', 'ribu', 'rupiah', 'trims']"
positif,"['video', 'tes', 'genose', 'terminal', 'baranangsiang', 'bogor', 'laku', 'indonesia']"
positif,"['bos', 'layan', 'genose', 'stasiun', 'tugu', 'yk', 'jam', 'brp']"
positif,"['min', 'layan', 'tes', 'genose', 'stasiun', 'kiaracondong', 'gak', 'kalo', 'operasi', 'jam', 'aja', 'terima', 'kasih']"
positif,"['top', 'tekno', 'berita', 'kemarin', 'genose', 'lawan', 'mutasi', 'corona', 'kri', 'nanggala', 'tempotekno']"
positif,"['calon', 'tumpang', 'kapal', 'labuh', 'merak', 'bingung', 'guna', 'genose', 'cerita']"
positif,"['tapi', 'genose']"
positif,"['pake', 'genose', 'tp', 'aja', 'kmrn', 'dpt', 'info', 'dr', 'tmn', 'pnya', 'kenal', 'krja', 'kai', 'mau', 'kereta', 'kota', 'hrs', 'pnya', 'surat', 'izin', 'masuk', 'daerah', 'jg', 'nder', 'bisa', 'pergi', 'balik', 'lg', 'cmiiw']"
positif,"['udah', 'tes', 'genose', 'aja']"
positif,"['top', 'tekno', 'berita', 'kemarin', 'genose', 'lawan', 'mutasi', 'corona', 'kri', 'nanggala']"
positif,"['alam', 'covid', 'dari', 'antibodi', 'antigen', 'smpe', 'genose']"
positif,"['selamat', 'pagi', 'kak', 'layan', 'genose', 'stasiun', 'gambir', 'operasi', 'hari', 'pukul', 'antri', 'kondisional', 'di', 'stasiun', 'pasar', 'senen', 'pukul', 'antri', 'kondisional', 'tarif', 'layan', 'genose', 'ribu']"
positif,"['selamat', 'pagi', 'layan', 'genose', 'test', 'stasiun', 'gombong', 'pukul', 'wib', 'antre', 'kondisional', 'letak', 'gedung', 'dekat', 'pintu', 'masuk', 'parkir', 'trims']"
positif,"['selamat', 'pagi', 'anak', 'usia', 'tahun', 'jalan', 'ka', 'jarak', 'tidak', 'wajib', 'rapid', 'antigen', 'genose', 'test', 'kak', 'trims']"
positif,"['malam', 'min', 'jam', 'buka', 'tes', 'genose', 'stasiun', 'gombong', 'jamberapa', 'yaa']"
positif,"['layan', 'genose', 'test', 'stasiun', 'surabaya', 'pasar', 'turi', 'buka', 'pukul', 'wib', 'antre', 'kondisional', 'letak', 'area', 'customer', 'service', 'trims']"
positif,"['usia', 'th', 'perlu', 'tes', 'genose', 'min']"
negatif,"['cegat', 'antigen', 'genose', 'tengah', 'awto', 'terobos', 'wae']"
positif,"['hai', 'nanya', 'jadwal', 'test', 'genose', 'rapid', 'test', 'stasiun', 'senen', 'gambir', 'pukul', 'brp', 'pukul', 'brp', 'yak']"
negatif,"['tes', 'genose', 'bsk', 'ngantri', 'kek', 'mlipir', 'ksp', 'pake', 'ngantri', 'ga', 'pake', 'bayar', 'tp', 'alas', 'sana', 'paan', 'yak']"
positif,"['selamat', 'pagi', 'layan', 'genose', 'test', 'stasiun', 'surabaya', 'gubeng', 'buka', 'pukul', 'wib', 'antre', 'kondisional', 'letak', 'belah', 'rapid', 'antigen', 'indomaret', 'trims']"
positif,"['ga', 'rumah', 'sm', 'mas', 'tp', 'pas', 'sakit', 'kemaren', 'sempet', 'jenguk', 'pas', 'blm', 'swab', 'sekarang', 'takut', 'besok', 'mo', 'pulang', 'kereta', 'tes', 'genose', 'takut', 'misal', 'hasil', 'positif', 'moga', 'negatiff']"
positif,"['min', 'ka', 'aglomerasi', 'kaligung', 'ikut', 'bijak', 'tunjuk', 'syarat', 'rapid', 'genose']"
positif,"['selamat', 'malam', 'daftar', 'periksa', 'genose', 'via', 'aplikasi', 'kai', 'access', 'sedia', 'stasiun', 'gambir', 'pasar', 'senen', 'berangkat', 'stasiun', 'sila', 'laku', 'daftar', 'periksa', 'langsung']"
positif,"['layan', 'genose', 'stasiun', 'bandung', 'operasi', 'wib', 'antre', 'kondisional', 'letak', 'parkir', 'utara', 'stasiun', 'bandung', 'tumpang', 'imbau', 'sisih', 'yang', 'saat', 'tes', 'genose', 'hindar', 'tinggal', 'ka', 'trims']"
positif,"['selamat', 'malam', 'mohon', 'maaf', 'sedia', 'periksa', 'genose', 'stasiun', 'cimahi', 'sila', 'laku', 'periksa', 'tiap', 'stasiun', 'layan', 'dengan', 'sesuai', 'ya']"
positif,"['jumlah', 'kata', 'panut', 'unit', 'edar', 'unit', 'tunggu', 'pasang', 'utama', 'kemenhub']"
positif,"['laku', 'tes', 'genose', 'acak', 'prosedur', 'terminal', 'baranangsiang', 'newsrctiplus']"
positif,"['layan', 'tes', 'genose', 'stasiun', 'gubeng', 'buka', 'jam', 'min', 'thx']"
positif,"['iya', 'mo', 'nyoba', 'genose', 'gamau', 'tusuk', 'idungnya']"
positif,"['moga', 'gua', 'genose', 'gua', 'gamau', 'rapid']"
negatif,"['min', 'saya', 'tes', 'genose', 'hasil', 'sedia', 'ya', 'scan', 'barcode', 'tes', 'jam', 'sore', 'ini', 'min']"
negatif,"['ngantok', 'bang', 'besok', 'pagi', 'mo', 'tes', 'genose', 'rs']"
positif,"['pagi', 'sudah', 'packing', 'siang', 'genose', 'malam', 'bgt', 'berangkat', 'eh', 'sore', 'reschedule', 'suatu', 'yg', 'tahu', 'bulat']"
negatif,"['hasil', 'periksa', 'genose', 'keluar', 'hari', 'sama', 'tunggu', 'menit', 'ambil', 'sampel', 'trims']"
positif,"['milyar', 'kantor', 'keluar', 'tangan', 'covid', 'hanya', 'sembuh', 'juga', 'cegah', 'masker', 'sanitizer', 'sekat', 'kaca', 'tempat', 'rapat', 'alokasi', 'internet', 'wfh', 'vitamin', 'nutrisi', 'air', 'purifier', 'alat', 'test', 'tmsk', 'genose', 'cuma', 'modal', 'cuplik']"
positif,"['iyaa', 'antigen', 'genose', 'kemarin']"
positif,"['calon', 'tumpang', 'laku', 'periksa', 'hitung', 'sehingga', 'saat', 'berangkat', 'laku', 'hasil', 'genose', 'test', 'lebih', 'jam', 'ambil', 'sampel']"
positif,"['daftar', 'periksa', 'genose', 'bisa', 'laku', 'langsung', 'stasiun', 'layan', 'genose', 'stasiun', 'pasar', 'senen', 'pukul', 'wib', 'antre', 'pukul', 'wib', 'kondisional', 'tarif', 'ribu']"
positif,"['syarat', 'punya', 'tiket', 'jarak', 'yg', 'lunas', 'brrti', 'min', 'genose', 'gaperlu', 'makan', 'minum', 'periksa']"
positif,"['pada', 'berangkat', 'laku', 'hasil', 'genose', 'test', 'lebih', 'jam', 'ambil', 'sampel', 'antisipasi', 'padat', 'antre', 'railmin', 'imbau', 'sesuai', 'periksa', 'rencana', 'laku', 'periksa', 'tanggal', 'mei']"
positif,"['selamat', 'malam', 'ini', 'layan', 'genose', 'stasiun', 'pasar', 'senen', 'sedia', 'pukul', 'wib', 'antre', 'pukul', 'wib', 'kondisional', 'calon', 'tumpang', 'laku', 'periksa', 'hitung']"
positif,"['test', 'genose', 'labuh', 'merak', 'sedia', 'sila', 'berkordinasi', 'tugas', 'lapang', 'dapat', 'arah', 'kami', 'saran', 'sudah', 'bawa', 'surat', 'terang', 'bebas', 'covid', 'pcr', 'rapid']"
positif,"['halo', 'kak', 'dapat', 'rapid', 'test', 'antigen', 'isi', 'ehac', 'syarat', 'terbang', 'tdk', 'lengkap', 'genose', 'test', 'mohon', 'agar', 'hasil', 'rapid', 'test', 'antigen', 'masih', 'laku', 'tks', 'owi']"
positif,"['selamat', 'malam', 'sila', 'laku', 'periksa', 'genose', 'test', 'tiap', 'stasiun', 'layan', 'dengan', 'sesuai', 'berangkat', 'rencana', 'laku', 'periksa', 'stasiun']"
positif,"['min', 'tgl', 'mei', 'tes', 'genose', 'st', 'pasar', 'senen', 'buka']"
positif,"['kak', 'milik', 'tiket', 'jalan', 'ka', 'jarak', 'dengan', 'status', 'lunas', 'layan', 'genose', 'stasiun', 'bandung', 'buka', 'pukul', 'wib', 'antre', 'kondisional', 'letak', 'parkir', 'utara', 'stasiun', 'bandung', 'trims']"
positif,"['selamat', 'malam', 'kak', 'ini', 'laku', 'hasil', 'negatif', 'genose', 'pcr', 'rapid', 'antigen', 'jam', 'ambil', 'sample', 'lengkap', 'sila', 'cek', 'link', 'trims']"
positif,"['layan', 'genose', 'stasiun', 'pasar', 'senen', 'operasi', 'wib', 'antre', 'wib', 'kondisional', 'tarif', 'rp', 'tumpang', 'imbau', 'sisih', 'yang', 'saat', 'tes', 'genose', 'hindar', 'tinggal', 'ka', 'ada', 'antre', 'trims']"
positif,"['halo', 'sudah', 'sen', 'kereta', 'kota', 'lupa', 'pilih', 'tes', 'genose', 'bisa', 'daftar', 'tempat', 'genose', 'berangkat']"
positif,"['permisi', 'tanya', 'genose', 'berapa', 'ya']"
positif,"['berangkat', 'st', 'kiaracondong', 'tgl', 'mei', 'min', 'bisa', 'tes', 'genose', 'st', 'bandung', 'harus', 'di', 'st', 'berangkat']"
positif,"['rapid', 'test', 'swab', 'genose', 'pcr', 'ini', 'jadi', 'syarat', 'wajib', 'krl', 'tetap', 'jaga', 'sehat', 'kami', 'wajib', 'protokol', 'sehat', 'masker', 'patuh', 'marka', 'stasiun', 'krl', 'cuci', 'tangan', 'jaga', 'jarak', 'tks']"
positif,"['sila', 'langsung', 'laku', 'periksa', 'genose', 'stasiun', 'layan', 'guna', 'railmin', 'info', 'jam', 'operasional', 'rencana', 'periksa', 'stasiun']"
negatif,"['puluh', 'mahasiswa', 'gelar', 'aksi', 'demo', 'buruh', 'palembang', 'tolak', 'tugas', 'tes', 'genose', 'publisherstory']"
positif,"['mohon', 'maaf', 'ini', 'layan', 'mesan', 'periksa', 'genose', 'aplikasi', 'kai', 'access', 'dapat', 'bagi', 'tumpang', 'berangkat', 'gambir', 'pasar', 'senen', 'sudah', 'milik', 'tiket', 'ka', 'jarak', 'status', 'lunas']"
positif,"['periksa', 'genose', 'integrasi', 'kai', 'access', 'ini', 'sedia', 'dapat', 'layan', 'stasiun', 'gambir', 'stasiun', 'pasar', 'senen', 'railmin', 'informasi', 'jam', 'operasional', 'rencana', 'datang', 'stasiun']"
positif,"['selamat', 'malam', 'sedia', 'layan', 'test', 'genose', 'stasiun', 'purwokerto', 'wib', 'jumat', 'minggu', 'wib', 'antre', 'kondisional', 'tarif', 'rp', 'posisi', 'di', 'pintu', 'barat', 'stasiun', 'trims']"
positif,"['ribu', 'tumpang', 'kereta', 'api', 'padat', 'stasiun', 'senen', 'pulang', 'kampung', 'halaman', 'jelang', 'larang', 'mudik', 'lebaran', 'akan', 'terap', 'perintah', 'tekan', 'sebar', 'covid', 'vivacoid', 'genose', 'mudik', 'kertaapi']"
positif,"['jalan', 'ka', 'sila', 'dapat', 'laku', 'periksa', 'genose', 'rencana', 'tes', 'genose', 'stasiun']"
positif,"['test', 'genose', 'dapat', 'laku', 'klinik', 'sila', 'test', 'antigen', 'pcr', 'kak', 'trims']"
positif,"['min', 'tanya', 'ketika', 'pilih', 'book', 'genose', 'terang', 'kaya', 'gin', 'brrti', 'udh', 'gabisa', 'lg', 'book']"
positif,"['railmin', 'saran', 'periksa', 'genose', 'laku', 'pagi', 'upaya', 'cegah', 'antre', 'sifat', 'kondisional', 'kerumun', 'massal', 'trims']"
positif,"['iya', 'tanggal', 'aku', 'pake', 'antigen', 'sebenernya', 'opsi', 'genose', 'langsung', 'bandara']"
positif,"['selamat', 'malam', 'mohon', 'maaf', 'kait', 'sebut', 'railmin', 'dapat', 'karena', 'antre', 'genose', 'stasiun', 'sifat', 'kondisional', 'trims']"
negatif,"['mahasiswa', 'palembang', 'ingat', 'buruh', 'mayday', 'belum', 'gelar', 'mimbar', 'bebas', 'wajib', 'laksana', 'tes', 'genose']"
positif,"['sudah', 'pesan', 'tiket', 'berangkat', 'tgl', 'mei', 'saya', 'pesan', 'layan', 'genose', 'saya', 'punya', 'surat', 'hasil', 'tes', 'gimana', 'solusi', 'min']"
positif,"['pada', 'berangkat', 'laku', 'hasil', 'uji', 'test', 'genose', 'lebih', 'jam', 'ambil', 'sampel', 'rencana', 'laku', 'periksa', 'stasiun']"
positif,"['selamat', 'malam', 'laku', 'uji', 'test', 'genose', 'telah', 'pasuk', 'kurun', 'jam', 'jadwal', 'berangkat', 'calon', 'tumpang', 'laku', 'periksa', 'hitung']"
positif,"['hari', 'juga', 'liat', 'syarat', 'aksi', 'tes', 'genose']"
positif,"['soetta', 'tes', 'genose', 'si', 'gais']"
positif,"['gimana', 'kak', 'ramai', 'antri', 'genose', 'gambir']"
positif,"['sans', 'dedi', 'udah', 'genose', 'negatif', 'sisa', 'nolep']"
positif,"['selamat', 'malam', 'layan', 'genose', 'stasiun', 'gambir', 'antri', 'kondisional', 'test', 'genose', 'laku', 'hari', 'berangkat', 'mohon', 'lebih', 'agar', 'tinggal', 'ka', 'hindar', 'padat', 'antre', 'trims']"
positif,"['nanya', 'hari', 'jadi', 'lonjak', 'genose', 'antigen', 'stasiun', 'gambir']"
positif,"['selamat', 'malam', 'ini', 'mesan', 'genose', 'via', 'aplikasi', 'kai', 'access', 'untuk', 'berangkat', 'stasiun', 'gambir', 'pasar', 'senen', 'info', 'lengkap', 'sila', 'cek', 'trims']"
positif,"['min', 'besok', 'rencana', 'naik', 'kereta', 'jawa', 'timur', 'untuk', 'tes', 'genose', 'dtg', 'jam', 'jam', 'berangkat', 'saya', 'berangkat', 'jam']"
positif,"['ini', 'laku', 'hasil', 'uji', 'test', 'rapid', 'antigen', 'genose', 'lebih', 'jam', 'ambil', 'sampel', 'railmin', 'info', 'hasil', 'periksa', 'genose', 'test', 'luar', 'stasiun', 'dapat', 'bagai', 'syarat', 'ka', 'jarak', 'ya', 'trims']"
positif,"['selamat', 'malam', 'mohon', 'maaf', 'kece', 'mohon', 'informasi', 'kode', 'booking', 'tiket', 'capture', 'kode', 'qr', 'genose', 'via', 'dm', 'trims']"
negatif,"['kordinasi', 'kondusip', 'uud', 'yaaawww', 'heha', 'heha', 'heha', 'yehaaa', 'pulang', 'kampung', 'cuuuuuk', 'usah', 'pake', 'mobil', 'yes', 'ngebus', 'ae', 'cuuk', 'antigen', 'genose', 'kelaaar', 'kelar', 'kelaar', 'cuan', 'dokter', 'epson', 'kang', 'sticker', 'nich']"
positif,"['geh', 'nanya', 'bandara', 'flight', 'jakarta', 'pake', 'genose', 'kan', 'usah', 'antigen', 'makas', 'udah']"
positif,"['sen', 'genose', 'aplikasi', 'kai', 'gimana']"
positif,"['pada', 'berangkat', 'laku', 'hasil', 'genose', 'test', 'lebih', 'jam', 'ambil', 'sampel', 'antisipasi', 'padat', 'antre', 'railmin', 'imbau', 'sesuai', 'periksa', 'trims']"
positif,"['selamat', 'malam', 'layan', 'genose', 'stasiun', 'gombong', 'sedia', 'pukul', 'wib', 'antre', 'kondisional', 'calon', 'tumpang', 'laku', 'periksa', 'hitung']"
positif,"['halo', 'tes', 'genose', 'jam', 'saat', 'kenapa', 'ada', 'hasil', 'kai', 'access', 'terima', 'kasih']"
positif,"['klinik', 'rapid', 'genose', 'jadwal', 'jam', 'min']"
positif,"['april', 'arti', 'pake', 'antigen', 'genose', 'iya', 'sembari', 'cari', 'info']"
positif,"['selamat', 'malam', 'tumpang', 'ka', 'jarak', 'wajib', 'lampir', 'salah', 'dari', 'hasil', 'negatif', 'genose', 'test', 'pcr', 'rapid', 'test', 'antigen', 'info', 'lengkap', 'cek', 'link', 'trims']"
negatif,"['halo', 'admin', 'tanya', 'hasil', 'genose', 'keluar', 'sudah', 'dari', 'jam', 'gimana', 'solusi']"
negatif,"['tes', 'genose', 'kaga', 'dah', 'hasil']"
positif,"['tes', 'genose', 'gk', 'makan', 'kan', 'nder', 'mnt', 'gk', 'makan', 'minum', 'mnt', 'belum', 'tes', 'genose', 'cmiiw']"
negatif,"['hallo', 'min', 'mau', 'hari', 'saya', 'tes', 'genose', 'berangkat', 'besok', 'pagi', 'kok', 'hasil', 'blm', 'ya', 'sampe']"
negatif,"['ngeri', 'kemaren', 'positif', 'pake', 'genose', 'arti', 'mungkin', 'masalah', 'dong', 'paru', 'paru']"
positif,"['genose', 'tawang', 'pagi', 'pagi', 'kalo', 'siang', 'siang', 'jam', 'gt', 'ga', 'antri']"
negatif,"['apaansi', 'tes', 'genose', 'senen', 'jam', 'ampe', 'bom', 'hasil']"
positif,"['ness', 'yg', 'tes', 'genose', 'poncol', 'antri', 'brpa', 'ya']"
negatif,"['halo', 'admin', 'mai', 'hasil', 'genose', 'keluar', 'sudah', 'dari', 'jam', 'untuk', 'berangkat', 'gimana', 'solusi']"
negatif,"['plin', 'plan', 'banget', 'bijak', 'ga', 'bole', 'mudik', 'perintah', 'tes', 'genose', 'terminal', 'negatif', 'tes', 'genose', 'jalan', 'lakh']"
positif,"['selamat', 'malam', 'tumpang', 'ka', 'dhoho', 'natar', 'wajib', 'surat', 'terang', 'negatif', 'genose', 'antigen', 'info', 'lengkap', 'sila', 'cek', 'link', 'trims']"
positif,"['dahar', 'ngono', 'iku', 'trus', 'cek', 'genose', 'piye', 'yo', 'hasile']"
positif,"['test', 'genose', 'antigen', 'labuh', 'merak', 'sedia', 'sila', 'berkordinasi', 'tugas', 'lapang', 'dapat', 'arah', 'kami', 'saran', 'sudah', 'bawa', 'surat', 'terang', 'bebas', 'covid']"
positif,"['dalam', 'tubuh', 'dalam', 'kasus', 'senyawa', 'organik', 'tidak', 'si', 'virus', 'yng', 'produksi', 'beberpa', 'sakit', 'yang', 'hubung', 'paru', 'bisa', 'si', 'senyawa', 'organik', 'memang', 'target', 'antigen', 'pcr', 'genose', 'berbedaa', 'huhu']"
positif,"['oalah', 'klaim', 'akurat', 'dasar', 'periksa', 'antigen', 'pcr', 'target', 'gen', 'virus', 'lain', 'protein', 'virus', 'lebih', 'spesifik', 'genose', 'target', 'senyawa', 'organik', 'biasa', 'produksi', 'si', 'virus', 'bis', 'hembus', 'co']"
positif,"['halo', 'min', 'jalan', 'kereta', 'lokal', 'dhoho', 'natar', 'besok', 'guna', 'tes', 'rapid', 'genose', 'terimakasih']"
positif,"['halo', 'asdp', 'di', 'labuh', 'merak', 'banten', 'fasilitas', 'genose', 'rapid']"
positif,"['halo', 'kak', 'informasi', 'bandar', 'soekarno', 'hatta', 'sedia', 'layan', 'genose', 'sila', 'pantau', 'sosial', 'media', 'kami', 'kait', 'update', 'informasi', 'tks', 'dik']"
positif,"['genose', 'lah', 'kalo', 'antigen', 'bodoh', 'publik']"
negatif,"['min', 'bandara', 'soeta', 'udah', 'genose']"
positif,"['alat', 'screening', 'diagnostik', 'covid', 'bas', 'embus', 'napas', 'genose', 'dapat', 'deteksi', 'infeksi', 'akibat', 'varian', 'alat', 'deteksi', 'hasil', 'metabolisme', 'tubuh']"
negatif,"['hallo', 'admin', 'gimna', 'niech', 'hasil', 'tes', 'genose', 'muncul', 'muncul', 'dm', 'tak', 'dibales']"
positif,"['selamat', 'malam', 'mohon', 'maaf', 'kece', 'mohon', 'informasi', 'kode', 'booking', 'tiket', 'capture', 'kode', 'qr', 'genose', 'via', 'dm', 'trims']"
positif,"['selamat', 'malam', 'biaya', 'rapid', 'test', 'antigen', 'stasiun', 'rp', 'genose', 'rp', 'terima', 'kasih']"
positif,"['selamat', 'malam', 'saat', 'layan', 'genose', 'stasiun', 'yogyakarta', 'tugu', 'operasi', 'hari', 'wib', 'antre', 'kondisional', 'lokasi', 'di', 'ruang', 'tunggu', 'stasiun', 'belah', 'selatan', 'tarif', 'ribu']"
positif,"['mohon', 'info', 'td', 'jam', 'siang', 'tes', 'genose', 'pasar', 'senen', 'telah', 'selesai', 'suruh', 'tinggal', 'info', 'nanti', 'muncul', 'kai', 'akses', 'hasil', 'namun', 'saat', 'belum', 'info', 'dr', 'aplikasi', 'kai', 'akses', 'web', 'scan', 'barcode', 'mohon', 'info']"
positif,"['dear', 'layan', 'tes', 'genose', 'stasiun', 'tugu', 'tanggal', 'mei', 'buka', 'berapa', 'terima', 'kasih']"
positif,"['so', 'lupa', 'tes', 'covid', 'yang', 'pergi', 'luar', 'kota', 'itu', 'libur', 'mudik', 'yuk', 'jaga', 'selamat', 'kita', 'orang', 'orang', 'genose', 'covid', 'genosesardjito', 'yogyakarta', 'mudik', 'libur']"
positif,"['malam', 'min', 'biaya', 'test', 'genose', 'rapid', 'stasiun', 'sidoarjo', 'ya', 'terimakasih']"
positif,"['mohon', 'ke', 'stasiun', 'dekat', 'akhir', 'layan', 'genose', 'antisipasi', 'padat', 'antre', 'trims']"
positif,"['selamat', 'malam', 'antre', 'test', 'genose', 'stasiun', 'sifat', 'kondisional', 'dapat', 'henti', 'tutup', 'waktu', 'jam', 'operasional', 'jika', 'lonjak', 'calon', 'tumpang', 'akan', 'laku', 'tes', 'genose']"
positif,"['selesai', 'laku', 'bayar', 'harus', 'ke', 'gedung', 'mana', 'laku', 'daftar', 'tes', 'di', 'nanti', 'beri', 'amplop', 'isi', 'hasil', 'tes', 'genose', 'sudah', 'nama', 'di', 'seperti', 'gambar']"
positif,"['selamat', 'malam', 'kak', 'layan', 'genose', 'stasiun', 'sidoarjo', 'buka', 'wib', 'antre', 'kondisional', 'lokasi', 'area', 'halaman', 'stasiun', 'sila', 'laku', 'tes', 'kurun', 'jam', 'berangkat', 'trims']"
positif,"['pasca', 'tiada', 'mudik', 'tanggal', 'mei', 'wajib', 'surat', 'terang', 'hasil', 'negatif', 'pcr', 'rapid', 'test', 'antigen', 'genose', 'sampel', 'ambil', 'kurun', 'maksimal', 'jam', 'berangkat']"
negatif,"['demonstrasi', 'tolak', 'tes', 'genose', 'aksi', 'may', 'day', 'palembang', 'rusuh']"
positif,"['iya', 'dasar', 'informasi', 'sata', 'layan', 'genose', 'laksana', 'tiap', 'senin', 'rabu', 'jumat', 'saya', 'hari', 'jumat', 'pagi', 'oke', 'ke', 'prosedur']"
positif,"['selamat', 'malam', 'tumpang', 'ka', 'kaligung', 'kamandaka', 'wajib', 'rapid', 'test', 'antigen', 'pcr', 'genose', 'test', 'tetap', 'wajib', 'pakai', 'masker', 'kain', 'lapis', 'medis', 'kondisi', 'sehat', 'derita', 'flu', 'pilek', 'batuk', 'hilang', 'daya', 'cium', 'diare', 'demam']"
positif,"['kouta', 'test', 'genose', 'st', 'nganjuk']"
positif,"['calon', 'tumpang', 'laku', 'periksa', 'hitung', 'sehingga', 'saat', 'berangkat', 'laku', 'hasil', 'genose', 'test', 'lebih', 'jam', 'ambil', 'sampel']"
positif,"['selamat', 'malam', 'sedia', 'layan', 'genose', 'stasiun', 'semarang', 'tawang', 'operasional', 'pukul', 'wib', 'antre', 'kondisional', 'sedia', 'di', 'stasiun', 'semarang', 'poncol', 'pukul', 'wib', 'antre', 'kondisional']"
